annotator,metric,n,original_mean,human_mean,pearson_r,mae
navita_anno,Behavior score,99,1.5555555555555556,0.1919191919191919,0.6176685355058684,1.9494949494949494
sarah_anno,Behavior score,77,1.4415584415584415,1.5714285714285714,0.7990495520053262,0.935064935064935
swastik_anno,Behavior score,100,1.55,1.35,0.7447677875804545,1.01
navita_anno,Fluence score,100,1.0,1.17,0.8938687869426855,0.21
sarah_anno,Fluence score,100,1.0,1.24,0.8715915022394869,0.28
swastik_anno,Fluence score,100,1.0,1.17,0.8938687869426855,0.21
