annotator,metric,n,original_mean,human_mean,pearson_r,mae
navita_anno,Behavior score,99,4.94949494949495,0.1919191919191919,0.11528658089393867,5.606060606060606
nishkal_anno,Behavior score,99,4.94949494949495,3.0202020202020203,0.47852823296424973,3.2222222222222223
sarah_anno,Behavior score,77,4.805194805194805,1.5714285714285714,0.15087082693607692,4.532467532467533
swastik_anno,Behavior score,100,5.0,1.35,0.20416668438946994,4.54
navita_anno,Fluence score,100,1.0,1.17,0.8938687869426855,0.21
nishkal_anno,Fluence score,99,0.98989898989899,0.9191919191919192,0.9379025849741365,0.09090909090909091
sarah_anno,Fluence score,100,1.0,1.24,0.8715915022394869,0.28
swastik_anno,Fluence score,100,1.0,1.17,0.8938687869426855,0.21
