metric,pairing,n,original_mean,human_mean,mean_delta,mae
Behavior score,low_behavior_low_fluency,3,-5.0,-1.0,4.0,4.0
Behavior score,high_behavior_low_fluency,31,5.0,1.7580645161290323,-3.2419354838709675,3.2419354838709675
Behavior score,low_behavior_high_fluency,15,-5.0,-3.6,1.4,1.4
Behavior score,high_behavior_high_fluency,54,5.0,4.944444444444445,-0.05555555555555555,0.05555555555555555
Fluence score,high_behavior_low_fluency,39,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078
Fluence score,high_behavior_high_fluency,54,2.0,2.0,0.0,0.0
Fluence score,low_behavior_high_fluency,15,2.0,2.0,0.0,0.0
Fluence score,low_behavior_low_fluency,3,0.0,0.0,0.0,0.0
